Date,Open,High,Low,Close,Volume,AdjustedClose
20200505,2630,2680,2610,2630,184761500,2565.825
20200506,2630,2650,2600,2620,173052900,2556.068
20200508,2640,2660,2580,2590,205764900,2526.801
20200511,2630,2640,2600,2620,154599200,2556.068
20200512,2620,2630,2470,2490,368672700,2429.241
20200513,2460,2520,2440,2470,338592200,2409.729
20200514,2440,2480,2330,2350,470265100,2292.657
20200515,2380,2400,2210,2240,594658300,2185.341
20200518,2250,2270,2160,2170,455462600,2117.049
20200519,2250,2420,2250,2370,531310100,2312.169
20200520,2360,2500,2320,2480,394395900,2419.485
20200526,2550,2550,2470,2520,404097300,2458.509
20200527,2540,2630,2520,2630,432813000,2565.825
20200528,2640,2780,2640,2730,453391300,2663.384
20200529,2700,2950,2700,2950,872607300,2878.016
20200602,2950,3290,2950,3180,467460800,3102.404
20200603,3200,3280,3010,3100,438099000,3024.356
20200604,3120,3200,3030,3060,250143200,2985.332
20200605,3070,3130,2960,3110,267393400,3034.112
20200608,3180,3370,3170,3300,384332100,3219.476
20200609,3350,3360,3210,3210,254497400,3131.672
20200610,3180,3180,3000,3030,443231300,2956.064
20200611,3130,3130,2900,2970,372347500,2897.528
20200612,2900,3040,2800,3030,472128400,2956.064
20200615,3040,3050,2890,2900,230766700,2829.236
20200616,2970,3150,2960,3130,338682000,3053.624
20200617,3200,3200,3080,3100,218180800,3024.356
20200618,3050,3120,3040,3050,130942600,2975.576
20200619,3080,3110,3060,3100,166932000,3024.356
20200622,3100,3110,3030,3060,95377000,2985.332
20200623,3020,3060,2980,3010,171421500,2936.552
20200624,3050,3140,3010,3120,308484300,3043.868
20200625,3100,3110,3040,3060,158209300,2985.332
20200626,3100,3120,3020,3030,147306200,2956.064
20200629,3040,3060,2980,3040,118809900,2965.82
20200630,3070,3110,3030,3030,134014700,2956.064
20200701,3040,3070,3030,3060,101290700,2985.332
20200702,3090,3090,3040,3060,169484600,2985.332
20200703,3060,3090,3040,3050,49472800,2975.576
20200706,3070,3100,3030,3040,134677700,2965.82
20200707,3070,3080,3030,3030,207371700,2956.064
20200708,3040,3200,3030,3190,339667600,3112.16
20200709,3190,3230,3140,3140,192182300,3063.38
20200710,3130,3150,3100,3110,107116200,3034.112
20200713,3130,3180,3050,3160,95863700,3082.892
20200714,3160,3250,3130,3170,211237700,3092.648
20200715,3200,3240,3130,3130,165721200,3053.624
20200716,3130,3160,3130,3140,117097200,3063.38
20200717,3140,3150,3100,3100,119587700,3024.356
20200720,3100,3130,3030,3040,115830300,2965.82
20200721,3050,3180,3050,3150,204157000,3073.136
20200722,3160,3170,3090,3100,173557500,3024.356
20200723,3120,3160,3100,3140,147857700,3063.38
20200724,3130,3140,3090,3090,94805600,3014.6
20200727,3090,3150,3090,3150,94516900,3073.136
20200728,3160,3170,3100,3140,103419800,3063.38
20200729,3140,3150,3100,3120,67176700,3043.868
20200730,3130,3170,3110,3160,78478700,3082.892
20200803,3170,3180,2970,2990,339279900,2917.04
20200804,3000,3080,3000,3080,156288000,3004.844
20200805,3100,3110,3040,3080,161496000,3004.844
20200806,3100,3130,3090,3110,114602400,3034.112
20200807,3110,3130,3060,3110,89917300,3034.112
20200810,3110,3150,3100,3130,91465200,3053.624
20200811,3130,3220,3130,3190,172459100,3112.16
20200812,3190,3370,3190,3350,459419200,3268.256
20200813,3350,3450,3300,3330,214222600,3248.744
20200814,3330,3350,3280,3340,99152200,3258.5
20200818,3340,3530,3340,3520,262001000,3434.107
20200819,3520,3640,3520,3560,217533000,3473.131
20200824,3530,3650,3520,3640,194972300,3551.179
20200825,3670,3800,3640,3800,179300000,3707.275
20200826,3800,3820,3700,3740,161962800,3648.739
20200827,3740,3780,3660,3700,187984900,3609.715
20200828,3710,3740,3650,3690,77888200,3599.959
20200831,3700,3740,3500,3510,266042400,3424.351
20200901,3550,3630,3480,3610,196959300,3521.911
20200902,3620,3660,3590,3660,106924600,3570.691
20200903,3660,3690,3550,3580,179612400,3492.643
20200904,3610,3610,3480,3550,134555700,3463.375
20200907,3550,3570,3500,3510,94814200,3424.351
20200908,3510,3570,3510,3520,81381900,3434.107
20200909,3480,3490,3380,3410,178435500,3326.791
20200910,3300,3300,3180,3180,277847900,3102.404
20200911,3020,3310,3010,3250,583497600,3170.696
20200914,3300,3450,3300,3440,275888700,3356.059
20200915,3440,3460,3310,3330,195531100,3248.744
20200916,3370,3390,3240,3260,138529300,3180.452
20200917,3270,3310,3170,3200,167611400,3121.916
20200918,3200,3270,3190,3220,202880500,3141.428
20200921,3200,3250,3150,3190,114168800,3112.16
20200922,3110,3190,3100,3130,134585500,3053.624
20200923,3170,3180,3050,3080,120607900,3004.844
20200924,3030,3080,3010,3030,164151300,2956.064
20200925,3060,3180,3040,3160,169418100,3082.892
20200928,3180,3230,3080,3090,135465800,3014.6
20200929,3120,3160,3020,3040,182697100,2965.82
20200930,3060,3080,3000,3040,167835700,2965.82
20201001,3090,3170,3060,3160,130031000,3082.892
20201002,3180,3210,3060,3100,157063600,3024.356
20201005,3160,3170,3110,3160,92722900,3082.892
20201006,3220,3240,3180,3190,120816800,3112.16
